1451320823.306161		999
1451320825.808025		229
1451320838.892687		1
1451320838.945165		1
1451320839.162021		1
1451320839.337987		1
1451320839.522188		1
1451320839.722966		1
1451320839.922461		1
1451320840.123504		1
1451320840.323229		1
1451320840.523058		1
1451320840.722459		1
1451320840.922511		1
1451320841.122701		1
1451320841.339704		1
1451320841.523051		1
1451320841.723154		1
1451320841.923201		1
1451320842.137988		1
1451320842.340284		1
1451320842.540144		1
1451320842.739512		1
1451320860.18621		1
1451320860.186381		1
1451320860.262898		1
1451320860.502436		1
1451320860.692539		1
1451320860.944676		1
1451320861.143231		1
1451320861.331545		1
1451320861.529246		1
1451320861.728756		1
1451320861.926508		1
1451320862.127055		1
1451320862.342844		1
1451320862.543041		1
1451320862.693507		1
1451320862.928107		1
1451320863.09307		1
1451320863.342974		1
1451320863.493714		1
1451320863.709276		1
1451320863.926545		1
1451320864.126926		1
1451320864.361965		1
1451320864.526299		1
1451320864.710821		1
1451320864.911972		1
1451320865.158066		1
1451320865.326521		1
1451320865.51074		1
1451320865.712487		1
1451320865.926501		1
